id,tokens
23316036,10328
23322773,14227
23326562,14581
23327428,22557
23332162,105210
23333297,9330
23338700,7476
23338961,11811
23339967,6268
23341204,7868
23348078,86013
23354130,10560
23354747,35679
23357278,10812
23381872,12996
23385455,86224
23387521,13325
23391919,6485
23396912,14531
23396915,18882
23405168,13388
23406161,13240
23408433,26783
23411285,12344
23416302,133010
23419073,19524
23421726,21278
23423168,14721
23436726,14692
23441918,206470
23452079,14561
23457469,17201
23460819,19528
23470755,9565
23479063,11680
23479726,22248
23482565,15447
23485681,14041
23494059,12160
23494625,14621
23500460,8512
23500723,11520
23501672,68623
23508687,17368
23517223,13473
23517598,9541
23519407,138631
23521653,10130
23524667,20353
23525458,18858
23529730,17097
23530771,15535
23530838,52869
23532843,12808
23552949,15421
23555903,19818
23560638,10667
23562736,7841
23564174,11330
23568047,14124
23569111,17897
23580646,16308
23583749,23929
23584458,11216
23589283,18813
23589288,12586
23592055,12492
23592737,12885
23599026,14274
23604968,17543
23608506,11043
23613221,15821
23613286,9670
23627611,11735
23629710,15900
23644746,53230
23649274,10590
23658663,16329
23660407,8467
23660703,7698
23661083,14433
23665536,14695
23666335,16311
23670313,11657
23671614,14027
23676275,21760
23686507,9949
23686719,17543
23688416,9311
23707255,6229
23707715,18716
23711725,46334
23715855,14254
23733388,131354
23733941,25095
23734596,17259
23737529,17365
23744811,11179
23746359,16727
23747278,15392
23747922,13676
23748791,8606
23754471,15945
23760263,21246
23760935,22260
23770703,17556
23772070,16427
23772365,21533
23772383,10247
23776225,16609
23779109,14872
23779234,12320
23782694,23362
23787140,41106
23791867,18087
23793344,13872
23801116,9102
23801120,9704
23801751,13724
23813729,11671
23814788,5993
23816041,19107
23824585,74632
23828599,18942
23831225,19745
23834473,21221
23836456,45855
23836494,9329
23836868,22078
23838530,70785
23846800,12042
23851086,13645
23858455,13472
23860686,44488
23866051,13792
23872454,35599
23874889,19408
23884203,14604
23894317,14754
23895593,87815
23897478,106090
23899325,13861
23900843,11049
23905007,6934
23905011,11733
23912116,17325
23913421,11409
23916814,9481
23917033,11257
23918931,15490
23929881,14029
23932397,10875
23934069,8126
23934860,14760
23935849,19394
23935953,15104
23940254,15073
23941541,25999
23942051,38772
23943617,16749
23946505,14545
23948501,14870
23948567,11253
23950902,13937
23955006,17376
23963459,13336
23974371,15794
23986443,18629
23992455,13128
23999287,16913
24001036,13038
24013630,23014
24018397,13296
24018661,12214
24018663,9094
24033456,21399
24034429,38049
24034435,14986
24036329,11665
24036413,8834
24039265,18358
24050153,7320
24055472,9964
24055682,22407
24056934,45055
24056940,10086
24057302,9855
24060347,30180
24060745,16355
24064214,15639
24064219,19510
24072704,12658
24073271,12138
24074367,10473
24076009,14943
24081582,21331
24083562,270136
24083939,5034
24086491,33013
24092883,17719
24100135,10762
24104568,19138
24114470,10619
24114556,11530
24115522,15828
24116166,43809
24119501,18663
24122667,13053
24123219,19972
24130159,13648
24138165,13866
24141127,72187
24142250,17173
24147537,7106
24165124,37760
24166732,139636
24170174,8057
24170203,99491
24175284,15388
24176774,16912
24187135,13871
24200799,15307
24204991,16978
24206068,11224
24211038,20718
24211777,11981
24214948,17570
24214982,17715
24214985,11775
24227702,32179
24231376,14164
24233057,14903
24239559,13977
24239948,18670
24247989,16421
24248535,14087
24249735,16646
24253830,54193
24261485,23514
24268540,13190
24270997,42855
24271187,12974
24275508,12682
24286336,15752
24291053,17944
24292439,14459
24293795,10583
24295366,14693
24299267,19317
24302732,19307
24304904,14013
24307253,8934
24327259,14552
24333989,16160
24340054,21040
24342239,7952
24352662,18330
24354275,16804
24358164,20170
24359411,18804
24366866,169472
24368112,13300
24368794,22202
24374160,16586
24375025,17885
24375099,13873
24379406,14606
24391053,16095
24392963,22218
24394409,20164
24402330,10295
24403065,74498
24403092,25210
24405865,17102
24412328,15758
24429283,18568
24430467,14289
24440558,16158
24443527,19151
24444291,15745
24450804,5500
24456211,17158
24463048,29255
24466218,26917
24467396,17201
24468405,15683
24473221,12219
24478312,15257
